Event,Num_Peaks,Peak_Positions,IgG_Similarity,apo-Tf_Similarity,Predicted_Class,Best_Score,Confidence,Certainty_Prob
26331012-1Events_pair1,4,"[0.9467808219178082, 0.9484246575342465, 0.9492465753424657, 0.9647260273972603]",0.475,0.475,IgG,0.475,0.0,0.5
26331012-1Events_pair2,6,"[0.8208904109589041, 0.8217123287671233, 0.822945205479452, 0.8237671232876712, 0.8673287671232877, 0.8685616438356164]",0.417,0.417,IgG,0.417,0.0,0.5
26331012-1Events_pair3,15,"[0.5808904109589041, 0.5847260273972603, 0.6737671232876712, 0.675, 0.6758219178082192, 0.6786986301369863, 0.682945205479452, 0.6841780821917808, 0.6854109589041096, 0.6862328767123288, 0.8330821917808219, 0.8343150684931507, 0.8367808219178082, 0.8400684931506849, 0.8836301369863013]",0.0,0.0,Uncertain,0.0,0.0,0.0
26331012-1Events_pair4,9,"[0.9070547945205479, 0.9132191780821918, 0.915, 0.9158219178082192, 0.9186986301369863, 0.9245890410958905, 0.9484246575342465, 0.9492465753424657, 0.9547260273972603]",0.417,0.387,IgG,0.417,0.029,0.536
26331012-1Events_pair6,2,"[0.9604794520547946, 0.9613013698630137]",0.65,0.0,IgG,0.65,0.65,0.963
26331012-1Events_pair11,2,"[0.9613013698630137, 0.9621232876712329]",0.65,0.0,IgG,0.65,0.65,0.963
26331012-1Events_pair12,2,"[0.9608904109589042, 0.9617123287671233]",0.65,0.0,IgG,0.65,0.65,0.963
26331012-1Events_pair14,2,"[0.9600684931506849, 0.9613013698630137]",0.65,0.0,IgG,0.65,0.65,0.963
26331012-1Events_pair18,2,"[0.9604794520547946, 0.9626712328767123]",0.65,0.0,IgG,0.65,0.65,0.963
26331012-1Events_pair20,2,"[0.9608904109589042, 0.9617123287671233]",0.65,0.0,IgG,0.65,0.65,0.963
26331012-1Events_pair21,5,"[0.9313013698630137, 0.9325342465753425, 0.9337671232876712, 0.9604794520547946, 0.9617123287671233]",0.574,0.0,IgG,0.574,0.574,0.946
26331012-1Events_pair24,2,"[0.9604794520547946, 0.9617123287671233]",0.65,0.0,IgG,0.65,0.65,0.963
26331012-1Events_pair27,8,"[0.7823972602739726, 0.7845890410958904, 0.7995205479452054, 0.8013013698630137, 0.805, 0.915, 0.9166438356164384, 0.963904109589041]",0.417,0.0,IgG,0.417,0.417,0.889
26331012-1Events_pair28,6,"[0.8923972602739726, 0.8940410958904109, 0.930068493150685, 0.9308904109589041, 0.9517123287671233, 0.9547260273972603]",0.417,0.493,apo-Tf,0.493,0.077,0.595
26331012-1Events_pair30,2,"[0.9467808219178082, 0.9517123287671233]",0.0,0.65,apo-Tf,0.65,0.65,0.963
26331012-1Events_pair34,15,"[0.8171917808219178, 0.8188356164383561, 0.8213013698630137, 0.8221232876712329, 0.8237671232876712, 0.8245890410958904, 0.8267808219178082, 0.8760958904109589, 0.8928082191780822, 0.8965068493150685, 0.9011643835616439, 0.9028082191780822, 0.9048630136986301, 0.9504794520547946, 0.9517123287671233]",0.525,0.444,IgG,0.525,0.081,0.6
26331012-1Events_pair35,15,"[0.7723972602739726, 0.7748630136986301, 0.8137671232876712, 0.8145890410958904, 0.8213013698630137, 0.8237671232876712, 0.8251369863013699, 0.8677397260273972, 0.8702054794520548, 0.874041095890411, 0.8781506849315068, 0.9103424657534247, 0.945, 0.9504794520547946, 0.9533561643835616]",0.484,0.45,IgG,0.484,0.034,0.543
26331012-1Events_pair36,3,"[0.9441780821917808, 0.945, 0.9458219178082192]",0.0,0.533,apo-Tf,0.533,0.533,0.935
26331012-1Events_pair37,2,"[0.9551369863013699, 0.9567808219178082]",0.0,0.0,Uncertain,0.0,0.0,0.0
26331012-1Events_pair38,10,"[0.6954109589041096, 0.6967808219178082, 0.8113013698630137, 0.8125342465753425, 0.8137671232876712, 0.815, 0.9392465753424658, 0.9408904109589041, 0.9417123287671233, 0.9433561643835616]",0.0,0.0,Uncertain,0.0,0.0,0.0
26331012-1Events_pair39,2,"[0.8304794520547946, 0.8313013698630137]",0.65,0.0,IgG,0.65,0.65,0.963
26331012-1Events_pair40,2,"[0.9262328767123288, 0.930068493150685]",0.65,0.0,IgG,0.65,0.65,0.963
26331012-1Events_pair41,4,"[0.9358219178082192, 0.9366438356164384, 0.9384246575342465, 0.9463698630136986]",0.0,0.475,apo-Tf,0.475,0.475,0.915
26331012-1Events_pair46,5,"[0.9484246575342465, 0.9592465753424657, 0.9630821917808219, 0.9659589041095891, 0.9667808219178082]",0.44,0.44,IgG,0.44,0.0,0.5
26331012-1Events_pair48,10,"[0.8978767123287671, 0.9044520547945205, 0.9052739726027397, 0.9128082191780822, 0.919931506849315, 0.9221232876712329, 0.9291095890410959, 0.935, 0.9362328767123288, 0.9706164383561644]",0.522,0.387,IgG,0.522,0.134,0.662
