Event,File,Pair,Num_Peaks,Peak_Positions,Mean_Peak,Min_Peak,Max_Peak,I0_used,Predicted_Class,Best_Score,Confidence,Certainty_Prob
26401017events-3_pair69,26401017events-3.csv,69,2,"[0.9519863013698631, 0.9528082191780822]",0.9523972602739726,0.9519863013698632,0.9528082191780822,7300.0,apo-Tf,0.65,0.65,0.963
26401017events-3_pair2,26401017events-3.csv,2,11,"[0.9095205479452054, 0.9286986301369863, 0.9317123287671233, 0.932945205479452, 0.9374657534246575, 0.940068493150685, 0.9413013698630137, 0.942945205479452, 0.9454109589041096, 0.947054794520548, 0.9521232876712329]",0.9372042341220422,0.9095205479452054,0.9521232876712328,7300.0,IgG,0.508,0.12,0.646
26401017events-2_pair102,26401017events-2.csv,102,8,"[0.8010273972602739, 0.8018493150684931, 0.8081506849315069, 0.811986301369863, 0.8165068493150685, 0.8203424657534246, 0.8232191780821918, 0.8291095890410959]",0.8140239726027397,0.8010273972602739,0.8291095890410959,7300.0,IgG,0.417,0.417,0.889
26401017events-3_pair56,26401017events-3.csv,56,3,"[0.9474657534246576, 0.9508904109589041, 0.9521232876712329]",0.9501598173515982,0.9474657534246576,0.9521232876712328,7300.0,apo-Tf,0.533,0.533,0.935
26401017events-3_pair73,26401017events-3.csv,73,3,"[0.9455479452054795, 0.9493835616438356, 0.9506164383561644]",0.9485159817351598,0.9455479452054796,0.9506164383561644,7300.0,apo-Tf,0.533,0.533,0.935
26401017events-3_pair58,26401017events-3.csv,58,2,"[0.9482876712328767, 0.952945205479452]",0.9506164383561644,0.9482876712328768,0.952945205479452,7300.0,apo-Tf,0.65,0.65,0.963
26401017events-3_pair116,26401017events-3.csv,116,3,"[0.9489726027397261, 0.9502054794520548, 0.9552739726027397]",0.9514840182648402,0.948972602739726,0.9552739726027396,7300.0,apo-Tf,0.533,0.533,0.935
26401017events-2_pair16,26401017events-2.csv,16,3,"[0.9228082191780822, 0.9248630136986301, 0.9282876712328767]",0.9253196347031964,0.9228082191780822,0.9282876712328768,7300.0,IgG,0.533,0.533,0.935
26401017events-3_pair129,26401017events-3.csv,129,2,"[0.9463698630136986, 0.9514383561643835]",0.9489041095890411,0.9463698630136986,0.9514383561643835,7300.0,apo-Tf,0.65,0.65,0.963
26401017events-4_pair15,26401017events-4.csv,15,6,"[0.8993835616438356, 0.9032191780821918, 0.9052739726027397, 0.9073287671232877, 0.9115753424657534, 0.9156849315068493]",0.9070776255707762,0.8993835616438356,0.9156849315068492,7300.0,IgG,0.417,0.417,0.889
