Ratio,Event,Peak_Positions
1:0,1-0-100-1Events-71_pair1,"[0.7043, 0.7099, 0.9747]"
1:0,1-0-100-1Events-71_pair2,"[0.6365, 0.6397, 0.6433, 0.6555, 0.7019, 0.7037, 0.7141, 0.7531, 0.9577, 0.9601, 0.9613, 0.9667, 0.9741]"
1:0,1-0-100-1Events-71_pair3,"[0.6513, 0.6591, 0.6611, 0.6671, 0.6727, 0.8387, 0.8471, 0.8753, 0.9625, 0.9675, 0.9699, 0.9735, 0.9771]"
1:0,1-0-100-1Events-71_pair4,"[0.6011, 0.6031, 0.6079, 0.6091, 0.7653, 0.7685, 0.7709, 0.8179, 0.8239, 0.8259, 0.8355, 0.8735, 0.8777, 0.9661, 0.9723]"
1:0,1-0-100-1Events-71_pair5,"[0.6707, 0.6965, 0.6977, 0.7067, 0.7367, 0.7435, 0.7471, 0.7581, 0.7617, 0.7635, 0.8087, 0.8099, 0.9753]"
1:0,1-0-100-1Events-71_pair6,"[0.5615, 0.6305, 0.6359, 0.6397, 0.7337, 0.7641, 0.7667, 0.7721, 0.7739, 0.7775, 0.7807, 0.8289, 0.8331, 0.8343, 0.9625]"
1:0,1-0-100-1Events-71_pair7,"[0.5719, 0.5895, 0.5969, 0.7281, 0.7293, 0.7331, 0.7403, 0.7745, 0.7757, 0.8497, 0.8509, 0.8539, 0.8557, 0.9693, 0.9753]"
1:0,1-0-100-1Events-71_pair8,"[0.6665, 0.6787, 0.6799, 0.6885, 0.6983, 0.9759, 0.9797]"
1:0,1-0-100-1Events-71_pair9,"[0.7739, 0.7763, 0.7807, 0.9759, 0.9771]"
1:0,1-0-100-1Events-71_pair10,"[0.7171, 0.7203, 0.7233, 0.7349, 0.7757, 0.8129, 0.8149, 0.8209, 0.8375, 0.9625, 0.9637, 0.9649, 0.9699, 0.9735]"
1:0,1-0-100-1Events-71_pair11,"[0.6073, 0.6293, 0.6359, 0.7745, 0.9577, 0.9595, 0.9655, 0.9717, 0.9729, 0.9765]"
1:0,1-0-100-1Events-71_pair12,"[0.5853, 0.5889, 0.5909, 0.6121, 0.6141, 0.6207, 0.6225, 0.6427, 0.6445, 0.6945, 0.7435, 0.8093, 0.9069, 0.9717, 0.9771]"
1:0,1-0-100-1Events-71_pair13,"[0.5511, 0.6849, 0.7197, 0.7251, 0.9717, 0.9759, 0.9777]"
1:0,1-0-100-1Events-71_pair14,"[0.6653, 0.6823, 0.7891, 0.7953, 0.8551, 0.8569, 0.8593, 0.8667, 0.8703, 0.8753, 0.8765, 0.9693, 0.9705, 0.9753, 0.9791]"
