Ratio,Event,Peak_Positions
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair1,"[0.5387, 0.6081, 0.6815]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair2,"[0.4349, 0.4507, 0.5105, 0.5289, 0.5361, 0.5411, 0.6375, 0.6399, 0.6473, 0.6875, 0.7925, 0.8157]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair3,"[0.5373, 0.5887, 0.6167, 0.6827, 0.7729]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair4,[0.8523]
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair5,"[0.4507, 0.4897, 0.5155, 0.5667, 0.5789, 0.6155, 0.9403]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair6,"[0.6009, 0.6265]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair7,"[0.9341, 0.9635]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair8,"[0.6815, 0.6839, 0.7401]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair9,"[0.6253, 0.7119, 0.7303, 0.7973, 0.8047]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair10,"[0.4691, 0.5387, 0.6313, 0.6351, 0.7535]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair11,"[0.3933, 0.4787, 0.5741]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair12,"[0.5277, 0.5667, 0.6033, 0.6351, 0.6375, 0.7401, 0.7547]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair13,"[0.7827, 0.9133]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair14,"[0.9195, 0.9329]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair15,"[0.9207, 0.9353]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair16,"[0.9035, 0.9743]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair17,"[0.8219, 0.8353]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair18,"[0.7973, 0.8499, 0.9109, 0.9171, 0.9329, 0.9695]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair19,"[0.7119, 0.8511]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair20,"[0.8243, 0.8889, 0.8913, 0.8951, 0.8987, 0.9049, 0.9207]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair21,[0.8877]
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair22,"[0.4483, 0.4605, 0.5069, 0.5141, 0.5643, 0.7839]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair23,"[0.2383, 0.7827, 0.8193, 0.8231, 0.8303, 0.8341, 0.9475]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair24,"[0.9085, 0.9159, 0.9317]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair25,"[0.4861, 0.5361, 0.5471, 0.5521]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair26,"[0.6277, 0.6301]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair27,"[0.9049, 0.9159, 0.9329]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair28,"[0.4679, 0.5057, 0.5081, 0.5545, 0.6131, 0.6571]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair29,[0.8585]
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair30,"[0.4885, 0.4923, 0.5203, 0.5277, 0.5313, 0.5789, 0.5875]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair31,"[0.7937, 0.8817, 0.8865, 0.8999]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair32,"[0.7021, 0.8413, 0.8523, 0.8731]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair33,"[0.8621, 0.8817, 0.8913]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair34,"[0.6485, 0.7351, 0.7583]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair35,"[0.5545, 0.7717, 0.8463, 0.8621, 0.8645, 0.8889, 0.9207]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair36,"[0.5825, 0.6399, 0.7339, 0.7669, 0.7937]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair37,"[0.5387, 0.6081, 0.6815]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair38,"[0.4349, 0.4507, 0.5105, 0.5289, 0.5361, 0.5411, 0.6375, 0.6399, 0.6473, 0.6875, 0.7925, 0.8157]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair39,"[0.5373, 0.5887, 0.6167, 0.6827, 0.7729]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair40,[0.8523]
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair41,"[0.4507, 0.4897, 0.5155, 0.5667, 0.5789, 0.6155, 0.9403]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair42,"[0.6009, 0.6265]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair43,"[0.9341, 0.9635]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair44,"[0.6815, 0.6839, 0.7401]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair45,"[0.6253, 0.7119, 0.7303, 0.7973, 0.8047]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair46,"[0.4691, 0.5387, 0.6313, 0.6351, 0.7535]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair47,"[0.3933, 0.4787, 0.5741]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair48,"[0.5277, 0.5667, 0.6033, 0.6351, 0.6375, 0.7401, 0.7547]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair49,"[0.7827, 0.9133]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair50,"[0.9195, 0.9329]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair51,"[0.9207, 0.9353]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair52,"[0.9035, 0.9743]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair53,"[0.8219, 0.8353]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair54,"[0.7973, 0.8499, 0.9109, 0.9171, 0.9329, 0.9695]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair55,"[0.7119, 0.8511]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair56,"[0.8243, 0.8889, 0.8913, 0.8951, 0.8987, 0.9049, 0.9207]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair57,[0.8877]
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair58,"[0.4483, 0.4605, 0.5069, 0.5141, 0.5643, 0.7839]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair59,"[0.2383, 0.7827, 0.8193, 0.8231, 0.8303, 0.8341, 0.9475]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair60,"[0.9085, 0.9159, 0.9317]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair61,"[0.4861, 0.5361, 0.5471, 0.5521]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair62,"[0.6277, 0.6301]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair63,"[0.9049, 0.9159, 0.9329]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair64,"[0.4679, 0.5057, 0.5081, 0.5545, 0.6131, 0.6571]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair65,[0.8585]
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair66,"[0.4885, 0.4923, 0.5203, 0.5277, 0.5313, 0.5789, 0.5875]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair67,"[0.7937, 0.8817, 0.8865, 0.8999]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair68,"[0.7021, 0.8413, 0.8523, 0.8731]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair69,"[0.8621, 0.8817, 0.8913]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair70,"[0.6485, 0.7351, 0.7583]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair71,"[0.5545, 0.7717, 0.8463, 0.8621, 0.8645, 0.8889, 0.9207]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair72,"[0.5825, 0.6399, 0.7339, 0.7669, 0.7937]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair73,"[0.8511, 0.8791, 0.9171, 0.9427]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair74,"[0.5045, 0.5265, 0.6217, 0.7047, 0.8023, 0.8219, 0.8547, 0.8695, 0.8889]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair75,[0.9121]
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair76,"[0.8365, 0.8841, 0.9023]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair77,"[0.9011, 0.9133]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair78,[0.8523]
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair79,"[0.8243, 0.8315, 0.8413, 0.8657]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair80,"[0.8255, 0.8291, 0.8365, 0.8547]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair81,"[0.6009, 0.7009, 0.8145]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair82,"[0.8389, 0.8547, 0.8877]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair83,[0.7595]
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair84,"[0.4641, 0.4679, 0.4703, 0.4923, 0.5875, 0.6461]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair85,"[0.5179, 0.5483, 0.5813, 0.6229, 0.6717, 0.6949, 0.7047]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair86,[0.3921]
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair87,"[0.5569, 0.6217, 0.6435, 0.7131, 0.8169]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair88,"[0.7241, 0.8097, 0.8585, 0.8743]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair89,"[0.5887, 0.6339, 0.6643, 0.6839, 0.6863, 0.7389]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair90,"[0.5069, 0.5093, 0.6033, 0.7535, 0.8023]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair91,"[0.9035, 0.9159]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair92,[0.8547]
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair93,"[0.8767, 0.9231, 0.9365]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair94,"[0.5361, 0.5569, 0.6753, 0.7681, 0.7973]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair95,"[0.8889, 0.9049]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair96,"[0.5887, 0.5959, 0.6033, 0.6107, 0.6961, 0.7131, 0.7449, 0.7547, 0.8219, 0.8341, 0.8817]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair97,"[0.8145, 0.8535, 0.8681, 0.8913, 0.9073, 0.9109, 0.9585]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair98,"[0.8511, 0.8817]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair99,"[0.5361, 0.5495, 0.6095, 0.7071]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair100,"[0.5581, 0.5643]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair101,"[0.5155, 0.6705, 0.6753, 0.6777]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair102,[0.6667]
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair103,"[0.8645, 0.8669, 0.9793]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair104,[0.9121]
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair105,[0.9219]
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair106,"[0.6387, 0.7205, 0.7839, 0.8425, 0.8669, 0.8829]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair107,"[0.7241, 0.7645, 0.8097, 0.8231, 0.8657]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair108,[]
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair109,"[0.6253, 0.6741]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair110,[0.8243]
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair111,"[0.8243, 0.8389]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair112,[0.9097]
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair113,"[0.8413, 0.8535]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair114,"[0.5483, 0.5581, 0.6327, 0.6351, 0.7583]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair115,"[0.4287, 0.4311, 0.5545, 0.7071, 0.7681, 0.7937, 0.8011]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair116,"[0.6949, 0.9707, 0.9793]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair117,"[0.5533, 0.5959, 0.7291]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair118,"[0.5521, 0.5545, 0.7595, 0.7925]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair119,"[0.5643, 0.5667, 0.6155, 0.6899, 0.7633, 0.8023, 0.8681, 0.9757]"
1:0,1-0-26416003Events-8.2min-106-event-38-85_pair120,"[0.5691, 0.5741, 0.5765, 0.6473, 0.7779, 0.8023]"
