Ratio,Event,Peak_Positions
1:0,1-0-26416003Events-9.2min-101_pair1,"[0.7351, 0.7401, 0.7767, 0.7791, 0.7839, 0.9267, 0.9647]"
1:0,1-0-26416003Events-9.2min-101_pair2,[]
1:0,1-0-26416003Events-9.2min-101_pair3,[0.7571]
1:0,1-0-26416003Events-9.2min-101_pair4,"[0.6289, 0.7437]"
1:0,1-0-26416003Events-9.2min-101_pair5,"[0.5057, 0.7839, 0.8267, 0.9293, 0.9659, 0.9793]"
1:0,1-0-26416003Events-9.2min-101_pair6,"[0.7571, 0.7619, 0.8157, 0.8291, 0.8805]"
1:0,1-0-26416003Events-9.2min-101_pair7,"[0.4825, 0.5325, 0.5691, 0.8219, 0.8645, 0.9451]"
1:0,1-0-26416003Events-9.2min-101_pair8,"[0.5081, 0.6351, 0.6583, 0.7131, 0.7717, 0.7803, 0.8963, 0.9011, 0.9035, 0.9219, 0.9671, 0.9695, 0.9781]"
1:0,1-0-26416003Events-9.2min-101_pair9,"[0.4983, 0.8535, 0.9781]"
1:0,1-0-26416003Events-9.2min-101_pair10,"[0.8341, 0.8463, 0.8633, 0.8669, 0.8987, 0.9329, 0.9403, 0.9513]"
1:0,1-0-26416003Events-9.2min-101_pair11,"[0.4825, 0.4849, 0.5301, 0.5521, 0.5715, 0.5777, 0.7633, 0.8535, 0.9329]"
1:0,1-0-26416003Events-9.2min-101_pair12,[0.9231]
1:0,1-0-26416003Events-9.2min-101_pair13,"[0.6191, 0.8035, 0.8243, 0.9707]"
1:0,1-0-26416003Events-9.2min-101_pair14,"[0.6705, 0.7669, 0.7791, 0.8083, 0.8291, 0.8389, 0.8645, 0.9011, 0.9171, 0.9757]"
1:0,1-0-26416003Events-9.2min-101_pair15,[0.6681]
1:0,1-0-26416003Events-9.2min-101_pair16,"[0.5019, 0.5825]"
1:0,1-0-26416003Events-9.2min-101_pair17,"[0.4129, 0.5191, 0.8523]"
1:0,1-0-26416003Events-9.2min-101_pair18,"[0.9133, 0.9305, 0.9561, 0.9647]"
1:0,1-0-26416003Events-9.2min-101_pair19,[0.9305]
1:0,1-0-26416003Events-9.2min-101_pair20,"[0.7999, 0.9719, 0.9793]"
1:0,1-0-26416003Events-9.2min-101_pair21,"[0.4885, 0.5411, 0.7363, 0.7705, 0.8133, 0.8193, 0.8231, 0.9683]"
1:0,1-0-26416003Events-9.2min-101_pair22,"[0.8231, 0.8547, 0.8767, 0.8791, 0.9305, 0.9329, 0.9403, 0.9475]"
1:0,1-0-26416003Events-9.2min-101_pair23,"[0.8219, 0.8791, 0.9049, 0.9255, 0.9403]"
1:0,1-0-26416003Events-9.2min-101_pair24,"[0.3275, 0.3299, 0.3787, 0.4373, 0.4641, 0.4825]"
1:0,1-0-26416003Events-9.2min-101_pair25,"[0.8463, 0.8669, 0.8791, 0.9073, 0.9207, 0.9281, 0.9389, 0.9427, 0.9537]"
1:0,1-0-26416003Events-9.2min-101_pair26,"[0.8291, 0.8451, 0.8621, 0.8817, 0.9683]"
1:0,1-0-26416003Events-9.2min-101_pair27,"[0.8585, 0.8853, 0.9049, 0.9255, 0.9281]"
1:0,1-0-26416003Events-9.2min-101_pair28,"[0.8291, 0.8609, 0.8829, 0.9023, 0.9195, 0.9487]"
1:0,1-0-26416003Events-9.2min-101_pair29,"[0.8829, 0.8901, 0.8975]"
1:0,1-0-26416003Events-9.2min-101_pair30,"[0.7633, 0.7961, 0.8547, 0.8951, 0.9499]"
1:0,1-0-26416003Events-9.2min-101_pair31,"[0.7241, 0.8071, 0.8193, 0.8535, 0.8779, 0.8889, 0.9035, 0.9183, 0.9207, 0.9329, 0.9415, 0.9671]"
1:0,1-0-26416003Events-9.2min-101_pair32,"[0.6765, 0.7327, 0.7473, 0.7523, 0.7547, 0.7619, 0.8315, 0.9549, 0.9621, 0.9781]"
1:0,1-0-26416003Events-9.2min-101_pair33,"[0.5923, 0.7193, 0.7901, 0.8083]"
1:0,1-0-26416003Events-9.2min-101_pair34,"[0.7717, 0.8291, 0.8341, 0.8999, 0.9097, 0.9255]"
