Ratio,Event,Peak_Positions
1:2,1-2-26416006Events-87s-50_pair1,"[0.8151, 0.8419, 0.8565, 0.8871, 0.9651, 0.9725, 0.9749]"
1:2,1-2-26416006Events-87s-50_pair2,"[0.6075, 0.7809, 0.7979, 0.8065, 0.8101, 0.8517, 0.8883, 0.9225, 0.9273, 0.9323]"
1:2,1-2-26416006Events-87s-50_pair3,"[0.6845, 0.6869, 0.7309, 0.8223]"
1:2,1-2-26416006Events-87s-50_pair4,"[0.7283, 0.7357, 0.7381, 0.8883]"
1:2,1-2-26416006Events-87s-50_pair5,"[0.8589, 0.8749, 0.8883]"
1:2,1-2-26416006Events-87s-50_pair6,"[0.8589, 0.8943, 0.9091]"
1:2,1-2-26416006Events-87s-50_pair7,"[0.6967, 0.7223, 0.7369, 0.8125, 0.8615]"
1:2,1-2-26416006Events-87s-50_pair8,"[0.8773, 0.8931, 0.9151, 0.9541]"
1:2,1-2-26416006Events-87s-50_pair9,"[0.8505, 0.8833, 0.8943, 0.9115]"
1:2,1-2-26416006Events-87s-50_pair10,"[0.8113, 0.9505, 0.9591]"
1:2,1-2-26416006Events-87s-50_pair11,"[0.8615, 0.9029, 0.9103, 0.9237, 0.9273, 0.9311, 0.9505, 0.9529]"
1:2,1-2-26416006Events-87s-50_pair12,"[0.5343, 0.6149, 0.6649, 0.6991, 0.7405, 0.8017, 0.8493, 0.8517, 0.8577, 0.8809, 0.9505]"
1:2,1-2-26416006Events-87s-50_pair13,[0.8981]
1:2,1-2-26416006Events-87s-50_pair14,"[0.7809, 0.7979, 0.8175, 0.8419, 0.8529, 0.8871, 0.9311, 0.9445]"
1:2,1-2-26416006Events-87s-50_pair15,"[0.5441, 0.5489, 0.6137, 0.7321, 0.8139, 0.8493, 0.8993]"
1:2,1-2-26416006Events-87s-50_pair16,"[0.7125, 0.7345, 0.7979, 0.8505, 0.8699, 0.8931]"
