Ratio,Event,Peak_Positions
1:4,1-4-26416009Events-11.5-221-event-45-144_pair1,"[0.8719, 0.8827, 0.8949, 0.8975, 0.9023, 0.9059, 0.9291, 0.9317, 0.9365, 0.9401]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair2,"[0.6143, 0.6191, 0.6215, 0.7071, 0.8461, 0.8535, 0.8731, 0.9085, 0.9439]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair3,"[0.7533, 0.7875, 0.7961, 0.8975, 0.9377]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair4,"[0.7595, 0.7827, 0.7937, 0.8119, 0.8217, 0.8621, 0.9097, 0.9389]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair5,"[0.8095, 0.9219, 0.9609]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair6,"[0.7887, 0.9121]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair7,[0.8645]
1:4,1-4-26416009Events-11.5-221-event-45-144_pair8,"[0.7363, 0.7717, 0.7913, 0.8571, 0.8719]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair9,"[0.7839, 0.8083, 0.9195, 0.9317]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair10,"[0.4225, 0.5117, 0.5519, 0.7155, 0.7729, 0.7791, 0.9645]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair11,"[0.7693, 0.7925, 0.8413, 0.9549]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair12,[]
1:4,1-4-26416009Events-11.5-221-event-45-144_pair13,"[0.4299, 0.4947, 0.5581, 0.5617, 0.5655, 0.6545, 0.6569, 0.6765, 0.6789, 0.7387, 0.7425, 0.7643, 0.7851, 0.7925, 0.8669]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair14,"[0.8133, 0.8217, 0.8241, 0.8633, 0.8767, 0.9047, 0.9621]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair15,"[0.6643, 0.6801, 0.7057, 0.7509, 0.7657, 0.8181, 0.8473, 0.8901]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair16,"[0.6009, 0.6533, 0.7303, 0.8425, 0.8693, 0.8815]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair17,"[0.5885, 0.6839, 0.7461, 0.9207]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair18,"[0.8365, 0.8841]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair19,"[0.5763, 0.5861, 0.7717, 0.8119]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair20,"[0.7437, 0.7765, 0.8047, 0.8291, 0.8315, 0.8901, 0.9169]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair21,"[0.8645, 0.8827, 0.9377]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair22,"[0.8705, 0.8803]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair23,"[0.6949, 0.8011, 0.8523, 0.8901, 0.9145, 0.9341, 0.9561]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair24,"[0.4483, 0.6325, 0.7631]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair25,"[0.5239, 0.6069, 0.6143, 0.8083, 0.8241, 0.8413, 0.8559, 0.8949, 0.8975, 0.9085]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair26,"[0.5325, 0.5361, 0.6839, 0.7741, 0.8011]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair27,"[0.7473, 0.7521, 0.8047, 0.8779, 0.9059, 0.9413]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair28,"[0.6045, 0.6337, 0.6557, 0.8693, 0.9097]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair29,"[0.8351, 0.8523]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair30,"[0.5885, 0.8157, 0.8669, 0.8743]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair31,[0.9317]
1:4,1-4-26416009Events-11.5-221-event-45-144_pair32,"[0.8389, 0.8595, 0.9475, 0.9499, 0.9633]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair33,"[0.8559, 0.8827]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair34,"[0.4103, 0.7021, 0.7045]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair35,"[0.5739, 0.6423, 0.8437, 0.8657, 0.8999, 0.9365]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair36,"[0.6227, 0.6387, 0.7815]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair37,"[0.3493, 0.3543, 0.3969, 0.7863, 0.9145]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair38,"[0.5581, 0.6167, 0.6595, 0.7265, 0.7887, 0.9047, 0.9157, 0.9195, 0.9353, 0.9645, 0.9695]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair39,[0.9059]
1:4,1-4-26416009Events-11.5-221-event-45-144_pair40,"[0.7559, 0.8023, 0.8133, 0.9793]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair41,"[0.5263, 0.5593, 0.5703, 0.7071, 0.7595, 0.8059, 0.8241, 0.8937, 0.9353]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair42,"[0.8169, 0.9499]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair43,"[0.8767, 0.9621]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair44,"[0.7399, 0.8413, 0.8559, 0.8705]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair45,"[0.6703, 0.6729, 0.8681, 0.9059, 0.9195, 0.9377]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair46,[]
1:4,1-4-26416009Events-11.5-221-event-45-144_pair47,"[0.5581, 0.5641, 0.6363, 0.6887]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair48,"[0.7009, 0.8241, 0.8633, 0.9035, 0.9499, 0.9549]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair49,"[0.6643, 0.6911, 0.8095, 0.8217, 0.8303, 0.8803, 0.8877, 0.8913, 0.9085, 0.9219, 0.9389]"
1:4,1-4-26416009Events-11.5-221-event-45-144_pair50,"[0.8913, 0.9085, 0.9413, 0.9683]"
