Ratio,Event,Peak_Positions
1:4,1-4-26416009Events-5-7.5min-96-events-50-96_pair1,"[0.7193, 0.7351, 0.7851, 0.7887, 0.7937, 0.9133]"
1:4,1-4-26416009Events-5-7.5min-96-events-50-96_pair2,[0.8693]
1:4,1-4-26416009Events-5-7.5min-96-events-50-96_pair3,"[0.6167, 0.7107, 0.7631, 0.9011, 0.9195]"
1:4,1-4-26416009Events-5-7.5min-96-events-50-96_pair4,"[0.6741, 0.7303, 0.7437, 0.9059, 0.9793]"
1:4,1-4-26416009Events-5-7.5min-96-events-50-96_pair5,"[0.5129, 0.5153, 0.5545, 0.5959, 0.6643, 0.7521, 0.9683, 0.9755]"
1:4,1-4-26416009Events-5-7.5min-96-events-50-96_pair6,"[0.6801, 0.8657]"
1:4,1-4-26416009Events-5-7.5min-96-events-50-96_pair7,"[0.7887, 0.7937, 0.8511, 0.8645]"
1:4,1-4-26416009Events-5-7.5min-96-events-50-96_pair8,"[0.6595, 0.6631, 0.8499]"
1:4,1-4-26416009Events-5-7.5min-96-events-50-96_pair9,"[0.8535, 0.8657]"
1:4,1-4-26416009Events-5-7.5min-96-events-50-96_pair10,"[0.8437, 0.8535, 0.8669, 0.8925, 0.8949]"
1:4,1-4-26416009Events-5-7.5min-96-events-50-96_pair11,"[0.7863, 0.8803, 0.8963, 0.9023, 0.9047, 0.9073, 0.9243, 0.9523]"
1:4,1-4-26416009Events-5-7.5min-96-events-50-96_pair12,"[0.7339, 0.7485, 0.7643]"
1:4,1-4-26416009Events-5-7.5min-96-events-50-96_pair13,"[0.8865, 0.9195, 0.9353]"
1:4,1-4-26416009Events-5-7.5min-96-events-50-96_pair14,"[0.8047, 0.8681, 0.8827, 0.8949, 0.9341]"
1:4,1-4-26416009Events-5-7.5min-96-events-50-96_pair15,"[0.5849, 0.5899, 0.8365, 0.9207]"
1:4,1-4-26416009Events-5-7.5min-96-events-50-96_pair16,"[0.7815, 0.9207, 0.9243]"
1:4,1-4-26416009Events-5-7.5min-96-events-50-96_pair17,"[0.9121, 0.9145, 0.9181, 0.9341]"
1:4,1-4-26416009Events-5-7.5min-96-events-50-96_pair18,"[0.6069, 0.6337, 0.7229]"
1:4,1-4-26416009Events-5-7.5min-96-events-50-96_pair19,"[0.4947, 0.5423, 0.5483, 0.5519, 0.6729, 0.7167, 0.7643, 0.8119, 0.8377]"
1:4,1-4-26416009Events-5-7.5min-96-events-50-96_pair20,"[0.6045, 0.6423, 0.6471, 0.6533, 0.8303, 0.8449, 0.8487, 0.8511, 0.8657, 0.9109]"
1:4,1-4-26416009Events-5-7.5min-96-events-50-96_pair21,"[0.4959, 0.5263, 0.5531, 0.6009, 0.6167, 0.6337, 0.6753, 0.7303, 0.7595]"
1:4,1-4-26416009Events-5-7.5min-96-events-50-96_pair22,"[0.7071, 0.8511, 0.8621]"
1:4,1-4-26416009Events-5-7.5min-96-events-50-96_pair23,"[0.7485, 0.7839, 0.8377, 0.8681, 0.9097]"
1:4,1-4-26416009Events-5-7.5min-96-events-50-96_pair24,"[0.6387, 0.6765, 0.7033, 0.7607, 0.8119, 0.8315, 0.8499, 0.8743, 0.8975]"
1:4,1-4-26416009Events-5-7.5min-96-events-50-96_pair25,"[0.5081, 0.5129, 0.6143]"
1:4,1-4-26416009Events-5-7.5min-96-events-50-96_pair26,"[0.4189, 0.4787, 0.5947, 0.6777, 0.7681, 0.9291, 0.9549]"
1:4,1-4-26416009Events-5-7.5min-96-events-50-96_pair27,"[0.5043, 0.6667, 0.6691, 0.7887, 0.7913, 0.8023, 0.9597]"
1:4,1-4-26416009Events-5-7.5min-96-events-50-96_pair28,"[0.6277, 0.6729, 0.6863, 0.8047, 0.8071, 0.9549, 0.9633]"
1:4,1-4-26416009Events-5-7.5min-96-events-50-96_pair29,"[0.7753, 0.8571, 0.8743, 0.8889, 0.9389, 0.9609, 0.9793]"
1:4,1-4-26416009Events-5-7.5min-96-events-50-96_pair30,"[0.6117, 0.6459, 0.7693, 0.7901, 0.8853, 0.8987, 0.9073, 0.9267, 0.9511]"
1:4,1-4-26416009Events-5-7.5min-96-events-50-96_pair31,[0.9243]
1:4,1-4-26416009Events-5-7.5min-96-events-50-96_pair32,"[0.3627, 0.4811, 0.5215, 0.5971, 0.6741, 0.7461, 0.7839, 0.8205, 0.8437, 0.9743]"
1:4,1-4-26416009Events-5-7.5min-96-events-50-96_pair33,"[0.8437, 0.8731, 0.8767, 0.8803, 0.8827, 0.9561]"
1:4,1-4-26416009Events-5-7.5min-96-events-50-96_pair34,"[0.7375, 0.8669]"
1:4,1-4-26416009Events-5-7.5min-96-events-50-96_pair35,"[0.5483, 0.6985, 0.7351, 0.9499, 0.9573]"
1:4,1-4-26416009Events-5-7.5min-96-events-50-96_pair36,"[0.7815, 0.9561]"
1:4,1-4-26416009Events-5-7.5min-96-events-50-96_pair37,"[0.8059, 0.8389, 0.8487, 0.9427, 0.9549]"
1:4,1-4-26416009Events-5-7.5min-96-events-50-96_pair38,"[0.6117, 0.6155, 0.6447, 0.6863, 0.7083, 0.7399, 0.7571, 0.7901, 0.8095, 0.8365, 0.8609, 0.8755, 0.9097, 0.9499, 0.9573]"
1:4,1-4-26416009Events-5-7.5min-96-events-50-96_pair39,"[0.6289, 0.6789, 0.6839, 0.7681, 0.7827, 0.7913, 0.8059, 0.8413, 0.9499, 0.9585]"
1:4,1-4-26416009Events-5-7.5min-96-events-50-96_pair40,[]
1:4,1-4-26416009Events-5-7.5min-96-events-50-96_pair41,"[0.6619, 0.7327, 0.7595, 0.8279, 0.8633, 0.8779, 0.8913, 0.9243]"
1:4,1-4-26416009Events-5-7.5min-96-events-50-96_pair42,"[0.5593, 0.7753, 0.8205, 0.8755, 0.8901, 0.9047, 0.9523]"
1:4,1-4-26416009Events-5-7.5min-96-events-50-96_pair43,"[0.7277, 0.7729, 0.7985, 0.8547, 0.8693, 0.9317, 0.9585, 0.9793]"
1:4,1-4-26416009Events-5-7.5min-96-events-50-96_pair44,"[0.7107, 0.7289, 0.7327, 0.7717, 0.7925, 0.8071, 0.8157, 0.8511, 0.8755, 0.9011, 0.9279, 0.9585]"
1:4,1-4-26416009Events-5-7.5min-96-events-50-96_pair45,"[0.8181, 0.8571, 0.9633]"
1:4,1-4-26416009Events-5-7.5min-96-events-50-96_pair46,"[0.6607, 0.6765, 0.7937, 0.8719, 0.8827, 0.9047, 0.9181, 0.9585]"
