Event,File,Pair,Num_Peaks,Peak_Positions,Mean_Peak,Min_Peak,Max_Peak
26516014Events-2_pair1,26516014Events-2.csv,1,1,[0.976530612244898],0.976530612,0.976530612,0.976530612
26516014Events-2_pair2,26516014Events-2.csv,2,1,[0.4757142857142857],0.475714286,0.475714286,0.475714286
26516014Events-2_pair3,26516014Events-2.csv,3,1,[0.9716326530612245],0.971632653,0.971632653,0.971632653
26516014Events-2_pair4,26516014Events-2.csv,4,1,[0.976530612244898],0.976530612,0.976530612,0.976530612
26516014Events-2_pair5,26516014Events-2.csv,5,1,[0.9491836734693877],0.949183673,0.949183673,0.949183673
26516014Events-2_pair6,26516014Events-2.csv,6,1,[0.9789795918367347],0.978979592,0.978979592,0.978979592
26516014Events-2_pair7,26516014Events-2.csv,7,1,[0.9789795918367347],0.978979592,0.978979592,0.978979592
26516014Events-2_pair8,26516014Events-2.csv,8,1,[0.9789795918367347],0.978979592,0.978979592,0.978979592
26516014Events-2_pair9,26516014Events-2.csv,9,2,"[0.9589795918367346, 0.9789795918367347]",0.968979592,0.958979592,0.978979592
26516014Events-2_pair10,26516014Events-2.csv,10,1,[0.9540816326530612],0.954081633,0.954081633,0.954081633
26516014Events-2_pair11,26516014Events-2.csv,11,1,[0.9516326530612245],0.951632653,0.951632653,0.951632653
26516014Events-2_pair12,26516014Events-2.csv,12,1,[0.9442857142857143],0.944285714,0.944285714,0.944285714
26516014Events-2_pair13,26516014Events-2.csv,13,1,[0.9540816326530612],0.954081633,0.954081633,0.954081633
26516014Events-2_pair14,26516014Events-2.csv,14,1,[0.9316326530612244],0.931632653,0.931632653,0.931632653
26516014Events-2_pair15,26516014Events-2.csv,15,1,[0.9340816326530612],0.934081633,0.934081633,0.934081633
26516014Events-2_pair16,26516014Events-2.csv,16,1,[0.9442857142857143],0.944285714,0.944285714,0.944285714
26516014Events-2_pair17,26516014Events-2.csv,17,1,[0.9316326530612244],0.931632653,0.931632653,0.931632653
26516014Events-2_pair18,26516014Events-2.csv,18,1,[0.9242857142857143],0.924285714,0.924285714,0.924285714
26516014Events-2_pair19,26516014Events-2.csv,19,1,[0.9418367346938775],0.941836735,0.941836735,0.941836735
26516014Events-2_pair20,26516014Events-2.csv,20,1,[0.9516326530612245],0.951632653,0.951632653,0.951632653
26516014Events-2_pair21,26516014Events-2.csv,21,1,[0.49081632653061225],0.490816327,0.490816327,0.490816327
26516014Events-2_pair22,26516014Events-2.csv,22,1,[0.946734693877551],0.946734694,0.946734694,0.946734694
26516014Events-2_pair23,26516014Events-2.csv,23,1,[0.9491836734693877],0.949183673,0.949183673,0.949183673
26516014Events-2_pair24,26516014Events-2.csv,24,1,[0.926734693877551],0.926734694,0.926734694,0.926734694
