Event,File,Pair,Num_Peaks,Peak_Positions,Mean_Peak,Min_Peak,Max_Peak,I0_used
26516015Events_pair1,26516015Events.csv,1,3,"[0.4068888888888889, 0.47755555555555557, 0.9766666666666667]",0.6203703703703703,0.4068888888888889,0.9766666666666667,2250.0
26516015Events_pair2,26516015Events.csv,2,1,[0.5535555555555556],0.5535555555555556,0.5535555555555556,0.5535555555555556,2250.0
26516015Events_pair3,26516015Events.csv,3,1,[0.4637777777777778],0.4637777777777778,0.4637777777777778,0.4637777777777778,2250.0
26516015Events_pair4,26516015Events.csv,4,0,[],,,,2250.0
26516015Events_pair5,26516015Events.csv,5,2,"[0.5126666666666667, 0.9793333333333333]",0.746,0.5126666666666667,0.9793333333333333,2250.0
26516015Events_pair6,26516015Events.csv,6,1,[0.9766666666666667],0.9766666666666667,0.9766666666666667,0.9766666666666667,2250.0
26516015Events_pair7,26516015Events.csv,7,1,[0.9682222222222222],0.9682222222222222,0.9682222222222222,0.9682222222222222,2250.0
26516015Events_pair8,26516015Events.csv,8,1,[0.3877777777777778],0.3877777777777778,0.3877777777777778,0.3877777777777778,2250.0
26516015Events_pair9,26516015Events.csv,9,1,[0.5562222222222222],0.5562222222222222,0.5562222222222222,0.5562222222222222,2250.0
26516015Events_pair10,26516015Events.csv,10,2,"[0.5535555555555556, 0.6077777777777778]",0.5806666666666667,0.5535555555555556,0.6077777777777778,2250.0
26516015Events_pair11,26516015Events.csv,11,2,"[0.4042222222222222, 0.974]",0.6891111111111111,0.4042222222222222,0.974,2250.0
26516015Events_pair12,26516015Events.csv,12,1,[0.9793333333333333],0.9793333333333333,0.9793333333333333,0.9793333333333333,2250.0
26516015Events_pair13,26516015Events.csv,13,2,"[0.3824444444444444, 0.4557777777777778]",0.4191111111111111,0.3824444444444444,0.4557777777777778,2250.0
26516015Events_pair14,26516015Events.csv,14,2,"[0.4122222222222222, 0.9495555555555556]",0.6808888888888889,0.4122222222222222,0.9495555555555556,2250.0
26516015Events_pair15,26516015Events.csv,15,3,"[0.3904444444444444, 0.9548888888888889, 0.9628888888888889]",0.7694074074074074,0.3904444444444444,0.9628888888888889,2250.0
26516015Events_pair16,26516015Events.csv,16,2,"[0.5615555555555556, 0.9495555555555556]",0.7555555555555555,0.5615555555555556,0.9495555555555556,2250.0
26516015Events_pair17,26516015Events.csv,17,1,[0.9442222222222222],0.9442222222222222,0.9442222222222222,0.9442222222222222,2250.0
26516015Events_pair18,26516015Events.csv,18,1,[0.9357777777777778],0.9357777777777778,0.9357777777777778,0.9357777777777778,2250.0
26516015Events_pair19,26516015Events.csv,19,1,[0.9384444444444444],0.9384444444444444,0.9384444444444444,0.9384444444444444,2250.0
26516015Events_pair20,26516015Events.csv,20,1,[0.9357777777777778],0.9357777777777778,0.9357777777777778,0.9357777777777778,2250.0
26516015Events_pair21,26516015Events.csv,21,1,[0.9495555555555556],0.9495555555555556,0.9495555555555556,0.9495555555555556,2250.0
26516015Events_pair22,26516015Events.csv,22,2,"[0.3473333333333333, 0.9442222222222222]",0.6457777777777778,0.3473333333333333,0.9442222222222222,2250.0
26516015Events_pair23,26516015Events.csv,23,1,[0.9548888888888889],0.9548888888888889,0.9548888888888889,0.9548888888888889,2250.0
26516015Events_pair24,26516015Events.csv,24,1,[0.9522222222222222],0.9522222222222222,0.9522222222222222,0.9522222222222222,2250.0
26516015Events_pair25,26516015Events.csv,25,1,[0.9522222222222222],0.9522222222222222,0.9522222222222222,0.9522222222222222,2250.0
26516015Events_pair26,26516015Events.csv,26,1,[0.9442222222222222],0.9442222222222222,0.9442222222222222,0.9442222222222222,2250.0
